Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
callr,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,3.4.3,NA,NA,"processx (>= 3.4.0), R6, utils",NA,"cliapp, covr, crayon, fansi, pingr, ps, rprojroot, spelling,
testthat, tibble, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
cli,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,3.6.1,NA,R (>= 3.4),utils,NA,"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, mockery, processx, ps
(>= 1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat, tibble, whoami, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.2.1
clipr,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.7.0,NA,NA,utils,NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,GPL-3,NA,NA,NA,NA,no,4.2.1
CohortMethod,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,4.0.0,NA,"R (>= 3.5.0),
DatabaseConnector (>= 2.2.0),
Cyclops (>= 3.0.0),
FeatureExtraction  (>= 3.0.0),
Andromeda (>= 0.3.0)","methods,
ggplot2,
gridExtra,
grid,
tibble,
plyr,
dplyr,
rlang,
cli,
pillar,
Rcpp (>= 0.11.2),
SqlRender (>= 1.5.2),
survival,
ParallelLogger (>= 2.0.0)",Rcpp,"testthat,
pROC,
knitr,
rmarkdown,
EmpiricalCalibration",NA,Apache License 2.0,NA,NA,NA,NA,yes,4.2.1
colorspace,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.4-1,NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,4.2.1
commonmark,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.9.0,NA,NA,NA,NA,"curl, testthat, xml2",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,4.2.1
cpp11,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.4.6,NA,R (>= 3.5.0),NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat, tibble, utils, vctrs, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
crayon,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.3.4,NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
credentials,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,2.0.1,NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
crosstalk,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.2.0,NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
curl,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,5.0.2,NA,R (>= 3.0.0),NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.2.1
Cyclops,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,3.0.0,NA,R (>= 3.1.0),"rlang, Matrix, Rcpp (>= 0.12.12), Andromeda (>= 0.3.1), dplyr,
dbplyr, methods, survival","Rcpp, BH (>= 1.51.0), RcppEigen (>= 0.3.2)","testthat, MASS, gnm, ggplot2, microbenchmark",NA,Apache License 2.0,NA,NA,NA,NA,yes,4.2.1
DatabaseConnector,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,3.0.0,NA,R (>= 2.10),"DatabaseConnectorJars, rJava, SqlRender (>= 1.6.3), methods,
stringr, utils, DBI (>= 1.0.0), urltools",NA,"aws.s3, uuid, R.utils, testthat, DBItest, knitr, rmarkdown,
RSQLite, ssh, Andromeda, dplyr",NA,Apache License,NA,NA,NA,NA,no,4.2.1
DatabaseConnectorJars,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.1.0,NA,NA,rJava,NA,NA,NA,Apache License,NA,NA,NA,NA,no,4.2.1
DBI,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.1.0,NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, hms, knitr, magrittr, rmarkdown, rprojroot,
RSQLite (>= 1.1-2), testthat, xml2",NA,LGPL (>= 2.1),NA,NA,NA,NA,no,4.2.1
dbplyr,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.4.4,NA,R (>= 3.1),"assertthat (>= 0.2.0), DBI (>= 1.0.0), dplyr (>= 0.8.0), glue
(>= 1.2.0), lifecycle, magrittr, methods, purrr (>= 0.2.5), R6
(>= 2.2.2), rlang (>= 0.2.0), tibble (>= 1.4.2), tidyselect (>=
0.2.4), blob (>= 1.2.0), utils",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.0.2), rmarkdown, RPostgres (>= 1.1.3), RSQLite (>= 2.1.0),
testthat (>= 2.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
desc,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.4.2,NA,R (>= 3.4),"cli, R6, rprojroot, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
devtools,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,2.4.5,NA,"R (>= 3.0.2), usethis (>= 2.1.6)","cli (>= 3.3.0), desc (>= 1.4.1), ellipsis (>= 0.3.2), fs (>=
1.5.2), lifecycle (>= 1.0.1), memoise (>= 2.0.1), miniUI (>=
0.1.1.1), pkgbuild (>= 1.3.1), pkgdown (>= 2.0.6), pkgload (>=
1.3.0), profvis (>= 0.3.7), rcmdcheck (>= 1.4.0), remotes (>=
2.4.2), rlang (>= 1.0.4), roxygen2 (>= 7.2.1), rversions (>=
2.1.1), sessioninfo (>= 1.2.2), stats, testthat (>= 3.1.5),
tools, urlchecker (>= 1.0.1), utils, withr (>= 2.5.0)",NA,"BiocManager (>= 1.30.18), callr (>= 3.7.1), covr (>= 3.5.1),
curl (>= 4.3.2), digest (>= 0.6.29), DT (>= 0.23), foghorn (>=
1.4.2), gh (>= 1.3.0), gmailr (>= 1.0.1), httr (>= 1.4.3),
knitr (>= 1.39), lintr (>= 3.0.0), MASS, mockery (>= 0.4.3),
pingr (>= 2.0.1), rhub (>= 1.1.1), rmarkdown (>= 2.14),
rstudioapi (>= 0.13), spelling (>= 2.2)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
diffobj,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.3.5,NA,R (>= 3.1.0),"crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.2.1
digest,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.6.25,NA,R (>= 3.1.0),utils,NA,"tinytest, knitr, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.2.1
downlit,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.4.3,NA,R (>= 3.4.0),"brio, desc, digest, evaluate, fansi, memoise, rlang, vctrs,
withr, yaml",NA,"covr, htmltools, jsonlite, MASS, MassSpecWavelet, pkgload,
rmarkdown, testthat (>= 3.0.0), xml2",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
dplyr,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.0.2,NA,R (>= 3.2.0),"ellipsis, generics, glue (>= 1.3.2), lifecycle (>= 0.2.0),
magrittr (>= 1.5), methods, R6, rlang (>= 0.4.7), tibble (>=
2.1.3), tidyselect (>= 1.1.0), utils, vctrs (>= 0.3.2)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 1.4.3), knitr,
Lahman, lobstr, microbenchmark, nycflights13, purrr, rmarkdown,
RMySQL, RPostgreSQL, RSQLite, testthat (>= 2.1.0), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.2.1
DT,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.29,NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), httpuv, jsonlite
(>= 0.9.16), magrittr, crosstalk, jquerylib, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, future,
testit, tibble",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,4.2.1
ellipsis,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.3.2,NA,R (>= 3.2),rlang (>= 0.3.0),NA,"covr, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.2.1
EmpiricalCalibration,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,2.0.2,NA,NA,"ggplot2 (>= 2.0.0), gridExtra, methods",NA,"knitr, rmarkdown",NA,Apache License 2.0,NA,NA,NA,NA,no,4.2.1
evaluate,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.21,NA,R (>= 3.0.2),methods,NA,"covr, ggplot2, lattice, rlang, testthat (>= 3.0.0), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
fansi,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.4.1,NA,R (>= 3.1.0),NA,NA,"unitizer, knitr, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.2.1
farver,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,2.0.3,NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.2.1
fastmap,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.1.1,NA,NA,NA,NA,testthat (>= 2.1.1),NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.2.1
FeatureExtraction,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,3.0.1,NA,"R (>= 3.2.2),
DatabaseConnector (>= 3.0.0),
Andromeda","methods,
dplyr,
rJava,
jsonlite,
SqlRender (>= 1.6.0),
ParallelLogger,
cli,
pillar,
readr,
rlang",NA,"testthat,
knitr,
rmarkdown",NA,Apache License 2.0,NA,NA,NA,NA,no,4.2.1
fontawesome,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.5.2,NA,R (>= 3.3.0),"rlang (>= 1.0.6), htmltools (>= 0.5.1.1)",NA,"covr, dplyr (>= 1.0.8), knitr (>= 1.31), testthat (>= 3.0.0),
rsvg",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
fs,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.6.3,NA,R (>= 3.4),methods,NA,"covr, crayon, knitr, pillar (>= 1.0.0), rmarkdown, spelling,
testthat (>= 3.0.0), tibble (>= 1.1.0), vctrs (>= 0.3.0), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.2.1
generics,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.0.2,NA,R (>= 3.1),methods,NA,"covr, pkgload, testthat, tibble",NA,GPL-2,NA,NA,NA,NA,no,4.2.1
gert,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.9.3,NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 2.0.3),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.2.1
ggplot2,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,3.3.2,NA,R (>= 3.2),"digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.3.0), scales (>= 0.5.0), stats, tibble,
withr (>= 2.0.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, maptools, multcomp, munsell, nlme, profvis,
quantreg, RColorBrewer, rgeos, rmarkdown, rpart, sf (>= 0.7-3),
svglite (>= 1.2.0.9001), testthat (>= 2.1.0), vdiffr (>= 0.3.0)",sp,GPL-2 | file LICENSE,NA,NA,NA,NA,no,4.2.1
gh,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.4.0,NA,R (>= 3.4),"cli (>= 3.0.1), gitcreds, httr2, ini, jsonlite, rlang (>=
1.0.0)",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 3.0.0), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
gitcreds,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.1.2,NA,R (>= 3.4),NA,NA,"codetools, covr, knitr, mockery, oskeyring, rmarkdown,
testthat (>= 3.0.0), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
glue,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.4.1,NA,R (>= 3.1),methods,NA,"testthat, covr, magrittr, crayon, knitr, rmarkdown, DBI,
RSQLite, R.utils, forcats, microbenchmark, rprintf, stringr,
ggplot2, dplyr, withr, vctrs (>= 0.3.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.2.1
gridExtra,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,2.3,NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,GPL (>= 2),NA,NA,NA,NA,no,4.2.1
gtable,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.3.0,NA,R (>= 3.0),grid,NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,GPL-2,NA,NA,NA,NA,no,4.2.1
highr,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.1,NA,R (>= 3.3.0),xfun (>= 0.18),NA,"knitr, markdown, testit",NA,GPL,NA,NA,NA,NA,no,4.2.1
hms,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.5.3,NA,NA,"methods, pkgconfig, rlang, vctrs (>= 0.2.1)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat",NA,GPL-3,NA,NA,NA,NA,no,4.2.1
htmltools,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.5.6,NA,R (>= 2.14.1),"utils, digest, grDevices, base64enc, rlang (>= 0.4.12),
fastmap (>= 1.1.0), ellipsis",NA,"markdown, testthat, withr, Cairo, ragg, shiny",knitr,GPL (>= 2),NA,NA,NA,NA,yes,4.2.1
htmlwidgets,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.6.2,NA,NA,"grDevices, htmltools (>= 0.5.4), jsonlite (>= 0.9.16), yaml,
knitr (>= 1.8), rmarkdown",NA,testthat,shiny (>= 1.1),MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
httpuv,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.6.11,NA,R (>= 2.15.1),"Rcpp (>= 1.0.7), utils, R6, promises, later (>= 0.8.0)","Rcpp, later","testthat, callr, curl, websocket",NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,yes,4.2.1
httr,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.4.7,NA,R (>= 3.5),"curl (>= 5.0.2), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
httr2,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.2.3,NA,R (>= 3.4),"cli (>= 3.0.0), curl, glue, magrittr, openssl, R6, rappdirs,
rlang (>= 1.0.0), withr",NA,"askpass, bench, clipr, covr, docopt, httpuv, jose, jsonlite,
knitr, purrr, rmarkdown, testthat (>= 3.0.0), tibble, webfakes,
xml2",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
ini,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.3.1,NA,NA,NA,NA,testthat,NA,GPL-3,NA,NA,NA,NA,no,4.2.1
isoband,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.2.2,NA,NA,"grid, utils",testthat,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.2.1
jquerylib,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.1.4,NA,NA,htmltools,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
jsonlite,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.7.0,NA,methods,NA,NA,"httr, curl, plyr, testthat, knitr, rmarkdown, R.rsp, sf, sp",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.2.1
knitr,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.44,NA,R (>= 3.3.0),"evaluate (>= 0.15), highr, methods, tools, xfun (>= 0.39),
yaml (>= 2.1.19)",NA,"bslib, codetools, DBI (>= 0.4-1), digest, formatR, gifski,
gridSVG, htmlwidgets (>= 0.7), curl, jpeg, JuliaCall (>=
0.11.1), magick, markdown (>= 1.3), png, ragg, reticulate (>=
1.4), rgl (>= 0.95.1201), rlang, rmarkdown, sass, showtext,
styler (>= 1.2.0), targets (>= 0.6.0), testit, tibble,
tikzDevice (>= 0.10), tinytex (>= 0.46), webshot, rstudioapi,
svglite, xml2 (>= 1.2.0)",NA,GPL,NA,NA,NA,NA,no,4.2.1
labeling,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.3,NA,NA,NA,NA,NA,NA,MIT + file LICENSE | Unlimited,NA,NA,NA,NA,no,4.2.1
later,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.3.1,NA,NA,"Rcpp (>= 0.12.9), rlang",Rcpp,"knitr, rmarkdown, testthat (>= 2.1.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.2.1
lattice,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.20-41,recommended,R (>= 3.0.0),"grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra",chron,GPL (>= 2),NA,NA,NA,NA,yes,4.2.1
lazyeval,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.2.2,NA,R (>= 3.1.0),NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,GPL-3,NA,NA,NA,NA,yes,4.2.1
lifecycle,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.0.3,NA,R (>= 3.4),"cli (>= 3.4.0), glue, rlang (>= 1.0.6)",NA,"covr, crayon, knitr, lintr, rmarkdown, testthat (>= 3.0.1),
tibble, tidyverse, tools, vctrs, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
lubridate,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.9.2,NA,"methods, R (>= 3.2)","generics, timechange (>= 0.1.1)",NA,"covr, knitr, rmarkdown, testthat (>= 2.1.0), vctrs (>= 0.5.0)","chron, data.table, timeDate, tis, zoo",GPL (>= 2),NA,NA,NA,NA,yes,4.2.1
magrittr,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.5,NA,NA,NA,NA,"testthat, knitr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
MASS,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,7.3-52,recommended,"R (>= 3.1.0), grDevices, graphics, stats, utils",methods,NA,"lattice, nlme, nnet, survival",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.2.1
Matrix,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.2-18,recommended,R (>= 3.2.0),"methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc",GPL (>= 2) | file LICENCE,NA,NA,NA,NA,yes,4.2.1
memoise,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,2.0.1,NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
MethodEvaluation,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,2.0.0,NA,"R (>= 3.2.0),
DatabaseConnector (>= 3.0.0),
FeatureExtraction (>= 3.0.0),
Cyclops (>= 3.0.0)","dplyr,
rlang,
SqlRender (>= 1.6.5),
pROC,
ggplot2,
ParallelLogger (>= 2.0.0),
methods,
EmpiricalCalibration",NA,"testthat,
DT,
shiny,
knitr",NA,Apache License 2.0,NA,NA,NA,NA,NA,4.2.1
mgcv,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,1.8-32,recommended,"R (>= 2.14.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.2.1
mime,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.12,NA,NA,tools,NA,NA,NA,GPL,NA,NA,NA,NA,yes,4.2.1
miniUI,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.1.1.1,NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,GPL-3,NA,NA,NA,NA,no,4.2.1
munsell,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.5.0,NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.2.1
nlme,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,3.1-149,recommended,R (>= 3.4.0),"graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,GPL (>= 2) | file LICENCE,NA,NA,NA,NA,yes,4.2.1
OhdsiSharing,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,0.2.2,NA,NA,"rJava,
ParallelLogger",NA,testthat,NA,Apache License,NA,NA,NA,NA,NA,4.2.1
openssl,/home/rstudio/atlas280/renv/library/R-4.2/x86_64-pc-linux-gnu,2.1.0,NA,NA,askpass,NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.2.1
